ParticipantID,Image,Image_Title,Prompt,Response,Pronoun,SubjAge,SubjEnglish,SubjGender,List
N_002,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,they drank it.,they/them,26,Native (learned from birth),woman,1
N_002,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,they sunbathed on a lounge chair.,they/them,26,Native (learned from birth),woman,1
N_002,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,they replied.,they/them,26,Native (learned from birth),woman,1
N_002,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,they checked the delivery app.,they/them,26,Native (learned from birth),woman,1
N_002,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,they moved on to their next chore.,they/them,26,Native (learned from birth),woman,1
N_002,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,had run into a friend.,none,26,Native (learned from birth),woman,1
N_002,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,they tidied the painting supplies.,they/them,26,Native (learned from birth),woman,1
N_002,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,the cat curled up on their lap.,they/them,26,Native (learned from birth),woman,1
N_003,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,they added creamer and went to the living room.,they/them,28,Native (learned from birth),man,1
N_003,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,they started preparing for sleep.,they/them,28,Native (learned from birth),man,1
N_003,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,They sang along at the top of their lungs.,they/them,28,Native (learned from birth),man,1
N_003,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,they went to the restroom and got popcorn from the vendors nearby.,they/them,28,Native (learned from birth),man,1
N_003,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,they took a sip anyway%2C burning their sensitive lips.,they/them,28,Native (learned from birth),man,1
N_003,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,they reclined in the sun for a few minutes.,they/them,28,Native (learned from birth),man,1
N_003,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,they replied with a long%2C unintelligible chain of emojis.,they/them,28,Native (learned from birth),man,1
N_003,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,they forgot that they had ordered pizza and ordered sushi.,they/them,28,Native (learned from birth),man,1
N_003,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,they tried to throw something away before realizing they hadn't replaced the bag yet.,they/them,28,Native (learned from birth),man,1
N_003,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,they spotted someone rolling on the ground and giggling.,they/them,28,Native (learned from birth),man,1
N_003,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,they tried to remember why they put on a doctor's outfit for this.,they/them,28,Native (learned from birth),man,1
N_003,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,they picked up the cute little monster and kissed its paws.,they/them,28,Native (learned from birth),man,1
N_004,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,they got ready for work.,they/them,21,Native (learned from birth),woman,1
N_004,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,they relaxed and watched a movie.,they/them,21,Native (learned from birth),woman,1
N_004,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,they started singing along.,they/them,21,Native (learned from birth),woman,1
N_004,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,they went to the bathroom.,they/them,21,Native (learned from birth),woman,1
N_004,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,they added sugar.,they/them,21,Native (learned from birth),woman,1
N_004,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,they went inside.,they/them,21,Native (learned from birth),woman,1
N_004,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,they responded.,they/them,21,Native (learned from birth),woman,1
N_004,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,they got out plates.,they/them,21,Native (learned from birth),woman,1
N_004,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,they washed their hands.,they/them,21,Native (learned from birth),woman,1
N_004,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,they stretched.,they/them,21,Native (learned from birth),woman,1
N_004,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,they sat outside.,they/them,21,Native (learned from birth),woman,1
N_004,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,they laughed.,they/them,21,Native (learned from birth),woman,1
N_005,gs01.png,A group of friends of varying genders gossiping (second from left),This person played with the cat. After watching it chase the laser pointer...,they gave him a treat,they/them,31,Native (learned from birth),woman,2
N_005,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person woke up early to walk the dog. After making coffee...,they got dressed,they/them,31,Native (learned from birth),woman,2
N_005,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person got home from work and cooked dinner. After washing the dishes...,they drank wine,they/them,31,Native (learned from birth),woman,2
N_005,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person chose a playlist for the drive. After turning up the volume...,they rocked out,they/them,31,Native (learned from birth),woman,2
N_005,gs05.png,A transgender woman sitting with an altar,This person went to see a show. During the intermission...,they got a drink,they/them,31,Native (learned from birth),woman,2
N_005,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person made a mug of tea. Before it cooled...,they took a big sip,they/them,31,Native (learned from birth),woman,2
N_005,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person got out of the pool. After drying off...,they laid in the sun,they/them,31,Native (learned from birth),woman,2
N_005,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person received a text. After reading it...,they replied,they/them,31,Native (learned from birth),woman,2
N_005,gs09.png,Two non-binary friends playing video games (left),This person ordered pizza. Before it arrived...,they set the table,they/them,31,Native (learned from birth),woman,2
N_005,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person collected the trash. After taking it out...,they went inside quick,they/them,31,Native (learned from birth),woman,2
N_005,gs11.png,A transmasculine doctor in front of his computer,This person went on a run at the local park. Before finishing...,they took a rest,they/them,31,Native (learned from birth),woman,2
N_005,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person painted the room. While the walls dried...,they ate lunch,they/them,31,Native (learned from birth),woman,2
N_006,gs01.png,A group of friends of varying genders gossiping (second from left),This person painted the room. While the walls dried...,They cleaned the brushes.,they/them,31,Native (learned from birth),woman,3
N_006,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person played with the cat. After watching it chase the laser pointer...,They started petting him.,they/them,31,Native (learned from birth),woman,3
N_006,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person woke up early to walk the dog. After making coffee...,They grabbed the leash.,they/them,31,Native (learned from birth),woman,3
N_006,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person got home from work and cooked dinner. After washing the dishes...,They sat down to watch tv.,they/them,31,Native (learned from birth),woman,3
N_006,gs05.png,A transgender woman sitting with an altar,This person chose a playlist for the drive. After turning up the volume...,They started singing along to the song playing.,they/them,31,Native (learned from birth),woman,3
N_006,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person went to see a show. During the intermission...,They talked with a friend.,they/them,31,Native (learned from birth),woman,3
N_006,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person made a mug of tea. Before it cooled...,They added sugar.,they/them,31,Native (learned from birth),woman,3
N_006,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person got out of the pool. After drying off...,They sat on a chair.,they/them,31,Native (learned from birth),woman,3
N_006,gs09.png,Two non-binary friends playing video games (left),This person received a text. After reading it...,They replied.,they/them,31,Native (learned from birth),woman,3
N_006,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person ordered pizza. Before it arrived...,They made sure they had the right change.,they/them,31,Native (learned from birth),woman,3
N_006,gs11.png,A transmasculine doctor in front of his computer,This person collected the trash. After taking it out...,They went to collect their mail,they/them,31,Native (learned from birth),woman,3
N_006,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person went on a run at the local park. Before finishing...,They checked their phone.,they/them,31,Native (learned from birth),woman,3
N_007,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,they glanced at their phone. ,they/them,38,Native (learned from birth),woman,1
N_007,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,they watched television. ,they/them,38,Native (learned from birth),woman,1
N_007,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,they nodded their head to the beat.,they/them,38,Native (learned from birth),woman,1
N_007,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,they went to the bathroom. ,they/them,38,Native (learned from birth),woman,1
N_007,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,they took a sip and burned their tongue. ,they/them,38,Native (learned from birth),woman,1
N_007,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,they ran into the house. ,they/them,38,Native (learned from birth),woman,1
N_007,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,they smiled. ,they/them,38,Native (learned from birth),woman,1
N_007,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,they put on pants. ,they/them,38,Native (learned from birth),woman,1
N_007,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,they looked at the night sky. ,they/them,38,Native (learned from birth),woman,1
N_007,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,they stopped to watch a squirrel. ,they/them,38,Native (learned from birth),woman,1
N_007,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,they looked closely for errors. ,they/them,38,Native (learned from birth),woman,1
N_007,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,they brushed the cat. ,they/them,38,Native (learned from birth),woman,1
N_008,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,he made avacado toast,he/him,22,Native (learned from birth),woman,1
N_008,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,she got a glass of wine and sat on the couch. ,she/her,22,Native (learned from birth),woman,1
N_008,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,she rolled the windows down and sang loudly,she/her,22,Native (learned from birth),woman,1
N_008,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,she went to the bathroom and got popcorn on her way back,she/her,22,Native (learned from birth),woman,1
N_008,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,she added honey and stirred the tea,she/her,22,Native (learned from birth),woman,1
N_008,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,they went to the snack bar to get ice cream,they/them,22,Native (learned from birth),woman,1
N_008,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,they cried tears of happiness ,they/them,22,Native (learned from birth),woman,1
N_008,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,they tipped the driver on the app,they/them,22,Native (learned from birth),woman,1
N_008,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,they washed their hands,they/them,22,Native (learned from birth),woman,1
N_008,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,they stretched,they/them,22,Native (learned from birth),woman,1
N_008,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,they danced to music,they/them,22,Native (learned from birth),woman,1
N_008,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,they picked up the cat and gave it a kiss,they/them,22,Native (learned from birth),woman,1
N_009,gs01.png,A group of friends of varying genders gossiping (second from left),This person painted the room. While the walls dried...,they ate a snack.,they/them,34,Native (learned from birth),woman,3
N_009,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person played with the cat. After watching it chase the laser pointer...,they picked the cat up.,they/them,34,Native (learned from birth),woman,3
N_009,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person woke up early to walk the dog. After making coffee...,she filled the dog's food and water bowl.,she/her,34,Native (learned from birth),woman,3
N_009,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person got home from work and cooked dinner. After washing the dishes...,she watched tv.,she/her,34,Native (learned from birth),woman,3
N_009,gs05.png,A transgender woman sitting with an altar,This person chose a playlist for the drive. After turning up the volume...,she started singing alone.,she/her,34,Native (learned from birth),woman,3
N_009,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person went to see a show. During the intermission...,they used the restroom.,they/them,34,Native (learned from birth),woman,3
N_009,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person made a mug of tea. Before it cooled...,they added honey.,they/them,34,Native (learned from birth),woman,3
N_009,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person got out of the pool. After drying off...,he went inside to get a glass of water.,he/him,34,Native (learned from birth),woman,3
N_009,gs09.png,Two non-binary friends playing video games (left),This person received a text. After reading it...,they responded.,they/them,34,Native (learned from birth),woman,3
N_009,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person ordered pizza. Before it arrived...,they set out the plates.,they/them,34,Native (learned from birth),woman,3
N_009,gs11.png,A transmasculine doctor in front of his computer,This person collected the trash. After taking it out...,he washed his hands.,he/him,34,Native (learned from birth),woman,3
N_009,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person went on a run at the local park. Before finishing...,they did a cool down lap.,they/them,34,Native (learned from birth),woman,3
N_010,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,she drank water.,she/her,53,Native (learned from birth),woman,1
N_010,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,watched some TV,none,53,Native (learned from birth),woman,1
N_010,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,she rolled down the window,she/her,53,Native (learned from birth),woman,1
N_010,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,went to the restroom,none,53,Native (learned from birth),woman,1
N_010,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,drank it,none,53,Native (learned from birth),woman,1
N_010,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,went inside,none,53,Native (learned from birth),woman,1
N_010,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,he answered it,he/him,53,Native (learned from birth),woman,1
N_010,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,munched on crackers,none,53,Native (learned from birth),woman,1
N_010,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,he changed the bag,he/him,53,Native (learned from birth),woman,1
N_010,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,she gasped,she/her,53,Native (learned from birth),woman,1
N_010,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,he did another task.,he/him,53,Native (learned from birth),woman,1
N_010,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,she laughed,she/her,53,Native (learned from birth),woman,1
N_011,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,HE PUT A COLLAR ON THE DOG TO PREPARE HIM FOR HIS WALK.,he/him,21,Native (learned from birth),man,1
N_011,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,HE WASHED HIS FACE.,he/him,21,Native (learned from birth),man,1
N_011,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,THEY DANCED IN THE CAR%2C WHILE DRIVING RECKLESSLY.,they/them,21,Native (learned from birth),man,1
N_011,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,SOMEBODY WENT TO SHIT ON THEIR FACE.,they/them,21,Native (learned from birth),man,1
N_011,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,THEY GOT PUNCHED IN THE FACE.,they/them,21,Native (learned from birth),man,1
N_011,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,SHE WENT ON HER PHONE TO FIND OUT THAT HER LESBIAN LOVER WAS CHEATING ON HER.,she/her,21,Native (learned from birth),man,1
N_011,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,THEY BECAME SUPER COLD AND SHOWED NO EMOTION ON THEIR FACE.,they/them,21,Native (learned from birth),man,1
N_011,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,HE SMOKED A BLUNT.,he/him,21,Native (learned from birth),man,1
N_011,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,HE GOT PUNCHED IN THE FACE by a Drunk Girl.,he/him,21,Native (learned from birth),man,1
N_011,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,His or Her dick fell out.,she/her,21,Native (learned from birth),man,1
N_011,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,he ate a burrito%2C he got from chipotle.,he/him,21,Native (learned from birth),man,1
N_011,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,they threw the cat away.,they/them,21,Native (learned from birth),man,1
N_012,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,with two sugars a no cream.,none,19,Native (learned from birth),woman,1
N_012,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,they sat down to watch their favorite show.,they/them,19,Native (learned from birth),woman,1
N_012,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,they belted out the lyrics to the song.,they/them,19,Native (learned from birth),woman,1
N_012,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,they talked to the person next to them about the show so far.,they/them,19,Native (learned from birth),woman,1
N_012,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,they got out biscuits to dip it in.,they/them,19,Native (learned from birth),woman,1
N_012,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,they lay out in the sun.,they/them,19,Native (learned from birth),woman,1
N_012,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,they laughed and quickly responded.,they/them,19,Native (learned from birth),woman,1
N_012,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,they got the money ready for the delivery driver.,they/them,19,Native (learned from birth),woman,1
N_012,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,they went back in to feed their dogs.,they/them,19,Native (learned from birth),woman,1
N_012,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,they ran around the pond to see the birds.,they/them,19,Native (learned from birth),woman,1
N_012,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,they did some work in their office.,they/them,19,Native (learned from birth),woman,1
N_012,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,they picked up the cat to hug it.,they/them,19,Native (learned from birth),woman,1
N_013,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,In their kitchen,they/them,18,Native (learned from birth),man,1
N_013,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,%2Cthey went and showered,none,18,Native (learned from birth),man,1
N_013,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,%2Cthey jammed out on their drive,they/them,18,Native (learned from birth),man,1
N_013,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,%2Cthey used the bathroom,none,18,Native (learned from birth),man,1
N_013,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,%2Cthey tried to take a sip and burnt their tongue ,they/them,18,Native (learned from birth),man,1
N_013,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,%2Cthey ate some snacks,none,18,Native (learned from birth),man,1
N_013,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,%2Cthey were really excited ,none,18,Native (learned from birth),man,1
N_013,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,%2C they got their napkins ready,they/them,18,Native (learned from birth),man,1
N_013,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,%2Cthey tripped and fell on their way in,they/them,18,Native (learned from birth),man,1
N_013,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,Their homework ,they/them,18,Native (learned from birth),man,1
N_013,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,He made himself lunch,he/him,18,Native (learned from birth),man,1
N_013,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,They cuddled it,they/them,18,Native (learned from birth),man,1
N_014,gs01.png,A group of friends of varying genders gossiping (second from left),This person played with the cat. After watching it chase the laser pointer...,they petted the cat.,they/them,20,Native (learned from birth),woman,2
N_014,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person woke up early to walk the dog. After making coffee...,they drank it.,they/them,20,Native (learned from birth),woman,2
N_014,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person got home from work and cooked dinner. After washing the dishes...,they watched TV.,they/them,20,Native (learned from birth),woman,2
N_014,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person chose a playlist for the drive. After turning up the volume...,they jammed out.,they/them,20,Native (learned from birth),woman,2
N_014,gs05.png,A transgender woman sitting with an altar,This person went to see a show. During the intermission...,they checked their phone.,they/them,20,Native (learned from birth),woman,2
N_014,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person made a mug of tea. Before it cooled...,they made sure to drink it.,they/them,20,Native (learned from birth),woman,2
N_014,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person got out of the pool. After drying off...,they checked their phone.,they/them,20,Native (learned from birth),woman,2
N_014,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person received a text. After reading it...,they replied to the text.,they/them,20,Native (learned from birth),woman,2
N_014,gs09.png,Two non-binary friends playing video games (left),This person ordered pizza. Before it arrived...,made sure they had their wallet.,they/them,20,Native (learned from birth),woman,2
N_014,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person collected the trash. After taking it out...,they walked back inside.,they/them,20,Native (learned from birth),woman,2
N_014,gs11.png,A transmasculine doctor in front of his computer,This person went on a run at the local park. Before finishing...,they made sure to stretch.,they/them,20,Native (learned from birth),woman,2
N_014,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person painted the room. While the walls dried...,they passed time by being on their phone.,they/them,20,Native (learned from birth),woman,2
N_015,gs01.png,A group of friends of varying genders gossiping (second from left),This person played with the cat. After watching it chase the laser pointer...,they told their friend about it. ,they/them,23,Native (learned from birth),woman,2
N_015,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person woke up early to walk the dog. After making coffee...,she did a work out before making her breakfast. ,she/her,23,Native (learned from birth),woman,2
N_015,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person got home from work and cooked dinner. After washing the dishes...,she took a shower and did her night time routine. ,she/her,23,Native (learned from birth),woman,2
